Key	NA	CA	DA6	DA12	DA24
AT3G57140.1	-0.202014	-0.458435	-0.304583	-0.233515	0.147468
AT3G57150.1	0.19911	0.224601	0.205719	0.201235	0.204067
AT3G57610.1	-0.427868	-0.363591	-0.049904	0.1297	0.316075
AT3G57740.1	-0.105473	-0.465561	-0.222786	-0.162938	-0.034784
AT3G58140.1	0.210391	-0.190262	0.05013	0.096782	0.37011
AT3G58410.1	-2.128521	-1.337321	-1.382225	-1.591093	-1.742566
AT3G58610.1	-0.51386	-0.434485	-0.196361	-0.20099	0.053677
AT3G58730.1	-0.75782	0.178997	0.301922	0.37932	0.685762
AT3G58790.1	-0.064516	-0.628496	-0.290108	-0.217691	0.200791
AT3G58860.1	-0.255862	0.088211	0.065298	0.133524	0.359992
AT3G59080.1	0.318991	-0.305892	-0.093415	-0.014982	0.419366
AT3G59400.1	-0.448976	-0.387622	-0.367568	-0.325148	-0.103321
AT3G59760.1	-0.080618	-0.311801	-0.358038	-0.247602	0.304579
AT3G59920.1	-0.206754	-0.464162	-0.198089	-0.023128	0.012297
AT3G59970.1	-0.191546	-0.296105	-0.245221	-0.15786	0.28792
AT3G59970.3	1.030524	0.777587	0.814731	1.063676	1.438102
AT3G60060.1	-0.587346	-0.055287	0.051125	0.125503	0.497393
AT3G60750.1	-0.05033	-0.05033	-0.05033	-0.014758	0.163105
AT3G60770.1	0.003085	-0.246626	-0.282299	-0.243422	0.289858
AT3G60820.1	-0.210037	-0.408558	-0.181657	0.033081	0.291262
AT3G61111.1	-0.796787	-0.465528	-0.134499	0.030858	0.196131
AT3G61440.1	-0.2303	-0.106974	0.014829	-0.265263	0.110999
AT3G61470.1	-0.152927	-0.120168	-0.021893	0.02732	0.388039
AT3G61540.1	-0.262263	-0.233076	-0.133839	-0.090964	0.135086
AT3G61730.1	-0.108871	-0.380002	-0.418735	-0.428913	-0.111836
AT3G62000.1	-3.052575	-3.725054	-2.969777	-2.41493	-2.299821
AT3G62030.1	-0.637569	-0.338404	-0.132462	-0.120603	0.12133
AT3G62120.1	-0.286144	-0.458837	-0.255351	-0.055623	0.186297
AT3G62250.1	-0.215199	-0.175056	-0.081513	0.091568	0.377797
AT3G62410.1	0.073718	-0.283374	-0.610186	-0.330282	0.19636
AT3G62530.1	0.07225	-0.302834	-0.078804	-0.024503	0.284384
AT3G62590.1	0.024117	-0.077615	-0.009794	-0.001316	-0.001316
AT3G62870.1	-3.080631	-0.069251	0.426772	0.224884	0.013747
AT3G63140.1	-0.915339	-0.299744	0.085282	-0.0029	-0.11643
AT3G63160.1	-1.038486	-0.926655	-0.59116	-0.753393	-1.17315
AT3G63170.1	-0.181844	-0.462428	-0.286078	-0.244272	-0.069177
AT3G63190.1	-0.159063	-0.250941	-0.135701	-0.015782	0.127118
AT3G63410.1	-0.063394	-0.0633	-0.062777	-0.062357	-0.061802
AT3G63460.1	-0.67548	-0.914015	-0.961722	-0.866021	-0.387517
AT3G63490.1	-0.157204	-0.22855	-0.358382	-0.110773	0.224958
AT4G00100.1	0.306786	-0.614136	-1.029317	-0.395563	-1.248318
AT4G01050.1	0.063307	-0.318489	-0.078098	0.051694	0.228284
AT4G01150.1	-0.282512	-0.282512	-0.282893	-0.283511	-0.283654
AT4G01310.1	-0.114257	-0.114146	-0.101612	-0.05598	0.078036
AT4G01690.1	-0.229144	-0.337123	-0.199351	-0.052694	0.125759
AT4G01900.1	-0.16548	-0.42468	-0.239634	-0.140014	0.155183
AT4G02405.1	0.461909	-0.011641	0.165982	0.192854	0.361255
AT4G02450.1	-0.156204	-0.24368	-0.137866	0.017383	0.389075
AT4G02520.1	-0.755986	-0.631275	-0.26853	-0.380567	-0.416015
AT4G02530.1	-0.239085	-0.529367	-0.570836	-0.526505	0.089107
AT4G02770.1	-0.543	-0.465554	-0.233214	-0.226756	0.076592
AT4G02930.1	-3.287857	-3.287857	-3.343231	-3.412448	-3.329387
AT4G03000.1	-0.44341	-0.211519	-0.047156	0.101368	0.32802
AT4G03280.1	-0.299493	-0.527116	-0.308485	0.008626	0.364984
AT4G03280.2	-3.531409	-3.442694	-3.176551	-3.182866	-2.903937
AT4G03520.1	-0.005619	-0.471816	-0.479309	-0.346243	0.329806
AT4G04020.1	-0.175763	-0.17566	-0.175645	-0.15141	-0.030375
AT4G04640.1	-0.17193	-0.17193	-0.095188	0.036105	0.097826
AT4G04800.1	-1.443793	-1.82864	-1.883621	-1.811963	-1.450926
AT4G04955.1	0.211053	-0.293213	-0.429374	-0.441695	-0.507714
AT4G05180.1	-0.114504	-0.501779	-0.269414	-0.232439	-0.008839
AT4G05200.1	-0.290664	-0.36706	-0.377974	-0.34779	-0.093188
AT4G08210.1	-0.275865	-0.275865	-0.275865	-0.22511	0.028667
AT4G08390.1	-0.095042	-0.067675	0.014426	0.049177	0.318716
AT4G08580.1	-0.06779	-0.35088	-0.630632	-0.590787	-0.670478
AT4G09000.1	-0.380786	-0.100188	-0.190603	-0.095311	0.197984
AT4G09010.1	-0.143414	-0.226929	-0.134655	-0.04999	0.048502
AT4G09040.1	0.78156	-0.042874	-0.341084	-0.187519	0.413652
AT4G09320.1	2.207413	2.174534	2.169837	2.20951	2.452495
AT4G09650.1	-0.054331	-0.310168	-0.182249	-0.230219	-0.246209
AT4G09670.1	2.497666	2.270293	2.224818	2.295108	2.646557
AT4G10060.1	-0.19777	-0.177098	-0.106812	-0.011596	0.47275
AT4G10300.1	0.025957	-0.325836	-0.039041	0.082513	0.138644
AT4G10340.1	-0.184549	-0.184549	-0.122013	0.040724	0.369764
AT4G10480.1	-0.298163	-0.236423	-0.069702	-0.059327	0.185518
AT4G11010.1	-0.110873	-0.31019	-0.129368	-0.052828	-0.124744
AT4G11150.1	-0.608319	-0.144327	-0.026863	0.079297	0.242355
AT4G11420.1	-0.234105	-0.186574	-0.05869	-0.063452	0.060709
AT4G11600.1	-1.193394	-1.352425	-1.172075	-0.999572	-0.779373
AT4G12020.1	0.164562	-0.118238	-0.174668	-0.081764	0.385859
AT4G12400.1	-0.567061	-0.447017	-0.098683	-0.099952	0.299109
AT4G12740.1	2.139734	2.791074	2.646674	2.632005	2.714833
AT4G12800.1	-0.361048	-0.266666	-0.027396	-0.190338	-0.334666
AT4G13170.1	-0.901202	0.022018	0.206543	0.006549	-0.45065
AT4G13430.1	0.000439	-0.001886	-0.002218	-0.002883	-0.003049
AT4G13850.1	-4.825613	-3.843889	-3.740224	-3.784714	-3.738462
AT4G13930.1	-0.123987	-0.387497	-0.148249	0.019658	0.249395
AT4G13940.1	0.01238	-0.052074	0.024678	0.101382	0.19623
AT4G14040.1	-0.767097	-0.731168	-0.623383	-0.577732	-0.223726
AT4G14605.1	-0.935996	-1.246164	-0.963467	-0.771202	-0.537636
AT4G14690.1	0.085842	-0.403781	-0.377897	-0.205418	0.039423
AT4G14880.1	-0.018331	-0.409438	-0.174774	-0.089553	0.375664
AT4G14960.1	-0.130041	-0.311143	-0.170772	-0.028605	0.454588
AT4G14960.2	-0.23027	-0.189436	-0.039712	-0.0261	-0.0261
AT4G15000.1	-0.357655	-0.269915	-0.006695	0.005061	0.370929
AT4G15180.1	0.173311	-0.335768	0.003618	0.046041	0.046041
AT4G16155.1	-0.195904	-0.377062	-0.268367	-0.215684	0.065849
AT4G16680.1	-0.938755	-1.285517	-1.039573	-0.924821	-0.610004
AT4G16720.1	-0.326969	-0.42833	-0.262707	-0.051472	0.202589
AT4G17040.1	-0.542976	-0.628616	-0.468517	-0.247348	0.024515
AT4G17520.1	-0.296426	-0.515996	-0.55991	-0.426006	0.243511
AT4G17530.1	-1.336234	-1.646519	-1.265816	-0.87977	-0.426138
AT4G17830.1	-0.058786	-0.379447	-0.425255	-0.388857	0.228316
